Region,Species,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
Region I ,Skipjack ,8.0,299.0,241.01,254.35,432.88000000000005,314.28,305.93,282.46,247.72,225.03,213.06,214.25,213.32,257.46,580.17,871.4100000000001,266.97,668.12,897.36,915.28,841.31,768.51,3925.44
Region I ,Slipmouth ,158.0,166.0,174.0,162.62,228.20999999999998,371.34000000000003,396.16999999999996,110.61999999999999,52.79,55.13,60.47,82.53999999999999,88.29,94.36999999999999,97.38,76.28999999999999,101.82,127.99000000000001,124.78,141.12,65.55,81.99,38.1
Region I ,Snapper ,,4.0,16.0,66.5,74.0,130.2,147.69,108.99,30.560000000000002,30.759999999999998,35.04,35.91,48.949999999999996,41.32,39.620000000000005,35.690000000000005,44.53,50.55,65.69,67.18,30.189999999999998,22.590000000000003,12.25
Region I ,Spanish mackerel ,8.0,13.0,28.0,91.89999999999999,116.45,141.16,97.06,89.44,29.68,31.709999999999997,21.7,33.92,40.67,51.88,43.33,41.620000000000005,48.42,39.16,35.94,28.82,29.14,31.08,64.55999999999999
Region I ,Squid ,43.0,55.0,60.0,117.95,133.4,156.26000000000002,152.01,98.46,53.739999999999995,45.739999999999995,51.6,51.88,68.92,74.18,70.61,71.47999999999999,87.83,101.75999999999999,106.43,118.64000000000001,58.34,48.709999999999994,49.9
Region I ,Threadfin bream ,131.0,142.0,175.0,167.07,199.88,220.87,135.62,122.69999999999999,94.73,71.94999999999999,93.49000000000001,102.07,112.91,122.27000000000001,130.06,185.58,183.43,180.69,156.89,139.95999999999998,86.0,108.95,30.59
Region I ,Yellowfin tuna ,778.0,668.0,569.75,176.47,657.39,298.08,200.09,61.61,99.35000000000001,26.319999999999997,34.42999999999999,35.449999999999996,31.549999999999997,83.41,368.12,417.54999999999995,88.15,212.28000000000003,73.09,342.03,584.12,1066.53,4134.95
Region I ,Others,765.0,920.0,893.5,1062.2199999999998,1154.37,1259.8400000000001,1118.97,1800.7800000000002,1504.2399999999998,916.46,803.92,639.19,667.8900000000001,662.5999999999999,441.08,478.08000000000004,498.76,624.9100000000001,712.14,503.31999999999994,566.03,578.3199999999999,568.16
Region II ,Acetes ,4871.0,3857.0,4594.52,2763.01,3265.73,2612.96,2732.87,3433.84,2067.8933333333334,2362.61,2265.2799999999997,899.4499999999999,957.72,283.84,272.04999999999995,237.97333333333333,106.10666666666667,75.17333333333333,65.26,67.7,60.74,77.74,41.75
Region II ,Anchovies ,937.0,1217.0,1255.94,1447.68,1338.47,1718.41,1643.58,1273.1599999999999,1266.97,1154.77,1043.48,1163.79,1244.13,1327.4899999999998,1252.12,898.7900000000001,731.93,610.99,489.41999999999996,518.39,549.2900000000001,497.78,472.40000000000003
Region II ,Big-eyed scad ,943.0,933.0,954.63,1029.8899999999999,976.6500000000001,1144.9099999999999,998.27,794.5500000000001,848.6800000000001,704.0500000000001,709.8599999999999,501.79,505.15999999999997,507.97999999999996,504.91,427.6,376.63,324.94000000000005,270.78,260.6,251.31,220.98,164.32
Region II ,Bigeye tuna ,,,,287.72,596.93,741.6500000000001,561.6999999999999,52.13333333333334,29.849999999999998,28.26,15.13,22.919999999999998,23.439999999999998,33.45,29.28,26.08,19.51,16.11,14.11,14.399999999999999,20.269999999999996,24.08,20.67
